folder,frame_count,crop_size,radius_px,autocorr_mean,autocorr_norm
1,128,512,58,-0.0007010524266119633,-0.00042355187942066567
1,128,512,59,-0.0007409243203588175,-0.00044764111282387403
1,128,512,60,-0.0006807903192765376,-0.00041131020773226137
1,128,512,61,-0.0005627888207419539,-0.00034001774146077393
1,128,512,62,-0.0004487985935363506,-0.00027114874802207676
1,128,512,63,-0.0002932635460422973,-0.00017717979622733154
1,128,512,64,-0.00010422675929364211,-6.297024032580978e-05
1,128,512,65,1.4476078080098546e-05,8.745950865754282e-06
1,128,512,66,0.00030385502253641393,0.00018357880378316153
1,128,512,67,0.0004398748406106479,0.0002657573219607858
1,128,512,68,0.0005229056845730983,0.0003159217157710158
1,128,512,69,0.0008181233603053532,0.0004942821302679584
1,128,512,70,0.0008668507773092983,0.0005237215677021562
1,128,512,71,0.0010281956708452175,0.0006212006296067393
1,128,512,72,0.0009644842184721119,0.0005827083508999066
1,128,512,73,0.0010696331843962304,0.0006462357569050938
1,128,512,74,0.0010048155541088643,0.0006070751633664832
1,128,512,75,0.0009437409716594021,0.0005701759912085351
1,128,512,76,0.0008465865491542897,0.0005114786146871547
1,128,512,77,0.0007249140825450177,0.00043796827516067864
1,128,512,78,0.000675123569298654,0.0004078865513661618
1,128,512,79,0.0004791034990058014,0.00028945793458218
1,128,512,80,0.0002959455081392178,0.00017880014592382352
1,128,512,81,0.00017202085722849213,0.00010392911373375812
1,128,512,82,-2.8739024398173837e-05,-1.7363134816307294e-05
1,128,512,83,-0.00013925380046052232,-8.413237963752323e-05
1,128,512,84,-0.0002714362222652076,-0.00016399247434159347
1,128,512,85,-0.00035845354127661593,-0.00021656535992099082
1,128,512,86,-0.0005952625896510973,-0.0003596372810718295
1,128,512,87,-0.0005223990871241731,-0.00031561564693299897
1,128,512,88,-0.0007010282675951701,-0.00042353728336967254
1,128,512,89,-0.0007790638752155044,-0.00047068372636689616
1,128,512,90,-0.0007553833634765185,-0.0004563767717484476
1,128,512,91,-0.0008778096392787916,-0.0005303425369867539
1,128,512,92,-0.000953499112228078,-0.0005760715257229622
1,128,512,93,-0.0012254158402804035,-0.0007403543052136154
1,128,512,94,-0.001115795178795466,-0.0006741252538148943
1,128,512,95,-0.0012421689530885216,-0.0007504759625200702
1,128,512,96,-0.001322105048968676,-0.00079877061547094
1,128,512,97,-0.0014019346038117134,-0.00084700089997404
1,128,512,98,-0.0014220614747689382,-0.0008591608664718214
1,128,512,99,-0.0014170935500869158,-0.0008561594164289766
1,128,512,100,-0.001444601177727028,-0.0008727785834742712
1,128,512,101,-0.0013288576187526924,-0.0008028502869967365
1,128,512,102,-0.001303782008789345,-0.0007877004617847712
1,128,512,103,-0.0011957582069061388,-0.0007224361782975641
1,128,512,104,-0.0011429766382719505,-0.0006905473612203281
1,128,512,105,-0.0009953270802275903,-0.0006013425522340037
1,128,512,106,-0.0008032782861318114,-0.0004853132445931313
1,128,512,107,-0.0006832204298471483,-0.0004127783973573319
1,128,512,108,-0.0004623128494794504,-0.0002793135988754354
1,128,512,109,-0.000357653579445849,-0.00021608205036520824
1,128,512,110,-0.0002011575387685843,-0.00012153249938357089
1,128,512,111,-7.62078148779798e-05,-4.60421531868922e-05
1,128,512,112,2.279712820629328e-05,1.377324452585329e-05
1,128,512,113,0.0001569186664820186,9.480488702656096e-05
1,128,512,114,0.000239153442603146,0.00014448832389614075
1,128,512,115,0.0003437946662444526,0.000207708969393864
